Username,Sprint,Worked,Billed,Planned,2019-10-7,2019-10-8,2019-10-9,2019-10-10,2019-10-11,2019-10-12,2019-10-13,2019-10-14,2019-10-15,2019-10-16,2019-10-17,2019-10-18,2019-10-19,2019-10-20,2019-10-21,2019-10-22,2019-10-23,2019-10-24,2019-10-25,2019-10-26,2019-10-27,2019-10-28,2019-10-29,2019-10-30,2019-10-31,2019-11-1,2019-11-2,2019-11-3,2019-11-4,2019-11-5,2019-11-6
raul,26,120.25,120.25,0,0,0,8,8,8,8,8.5,0,0,9,8,8,8,8,0,0,0,0,0,0,0,0,0,8,8,6,7.5,7,0,0,2.25
raul,27,130,130,0,0,0,8,8,0,0,0,0,0,0,8,0,0,8,8,8,0,11,0,0,6.5,8,8,8,8.5,0,0,8,8,8,8
raul,28,171.75,171.75,0,8,0,0,8,8,8,8,8,0,0,8,8,8,8,8.75,0,0,9,8,8,10,8,0,0,8,8,8,8,8,0,0
gregorio,1,175.5,175.5,0,8,8,8,8,8,0,0,8,8,8,8,8,0,0,8.5,8.5,8,8,8,0,0,8.5,11.5,8.5,0,0,0,0,8,8,10
gregorio,2,170.5,170.5,0,8,9.5,0,0,8,8,8,8,8,0,0,8.5,8.5,8,7,8,0,0,8,8,8,8,8,0,0,8,8,9,8,0,0
gregorio,3,96,96,0,0,0,9,7,8,8,0,0,8.5,8,8,7.5,0,0,0,8,8,0,8,8,0,0,0,0,0,0,0,0,0,0,0
gregorio,4,160,160,0,0,0,0,0,0,8.5,8,7,8.5,8,0,0,8,8,8,8,8,0,0,8,8,8,8,8,0,0,8,8,8,8,8
gregorio,5,170.5,170.5,0,0,0,8.5,8,8,8,8,0,0,8.5,8,8.5,9,7,0,0,8.5,8.5,8,8,8,0,0,8,8,8,8,8,0,0,8
gregorio,6,179,179,0,8,8,8,8,0,0,8,8,8,8,9,0,0,8,8,8,8,8,0,0,8,8,9,8,9,0,0,8,8,8,0
gregorio,7,153,153,0,0,0,0,8.5,8.5,8,8,8,0,0,8,8,8,8,8,0,0,8,8,8,8,0,0,0,8,8,8,8,8,0,0
gregorio,8,183,183,0,8,9,9,8,0,0,0,8.5,9,8.5,8,8,0,0,8,8,8.5,8,8,0,0,8.5,8,8.5,8,8,0,0,9.5,8,8
gregorio,9,179.5,179.5,0,8.5,7,0,0,8,8,9,7,8.5,0,0,8.5,8.5,8,10,6.5,0,0,6,7.5,9.5,9.5,7.5,0,0,8.5,8,9.5,8,8,0
gregorio,10,122.5,122.5,0,0,8,8,8,8,8,0,0,8.5,8.5,8.5,7,9,0,0,9,9,9,6,8,0,0,0,0,0,0,0,0,0,0,0
gregorio,11,150.5,150.5,0,0,0,0,0,0,8,9,8.5,8.5,8.5,0,0,8,8.5,8,0,0,0,0,8,8,9.5,8,8,0,0,8.5,10,8.5,6,9
gregorio,12,166,166,0,0,0,8,8,8.5,8,8,0,0,8,8,9,8,8,0,0,8,8,8.5,8,8.5,0,0,6.5,8.5,8.5,10,10,0,0,0
gregorio,13,173.5,173.5,0,8,8.5,8,8,0,0,8,10.5,8,9.5,8.5,0,0,8,8,8,8,8,0,0,0,6.5,8.5,8.5,8.5,0,0,0,8,8.5,8
gregorio,14,154,154,0,8,0,0,8,8,8,8,8,0,0,8,8,8,8,8.5,0,0,9.5,8,8.5,8,8,0,0,0,0,8,7,8.5,0,0
gregorio,15,93.75,93.75,0,8,8,8,7.75,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,8,0,8,6,0,0,8,7,8
gregorio,16,162,162,0,8.5,7,0,0,8,6,8,7,8,0,0,7.5,5.5,5.5,5.5,5.5,0,0,8,8,8,7,9,0,0,8,8,8,8,8,0
gregorio,17,155.75,155.75,0,0,8.5,8,8,8,0,0,0,0,8,8,8,8,0,0,7.5,7.5,9,7.5,9.5,0,0,6.5,8.5,3.25,8,8,0,0,8,8
gregorio,18,145,145,0,8,8,0,0,0,8,8,10,10,11,0,0,0,0,0,0,0,0,0,8,9,8.5,8,8,0,0,8,8,8,8.5,8
gregorio,19,167,167,0,0,0,8,8,8,8,8,0,0,9,10.75,10,8,8,0,0,0,8,8.5,8,7.5,0,0,8,8,9.5,8,7.75,0,0,8
gregorio,20,186,186,0,8,8,8,8,0,0,8,8,8,8,8,0,0,8.5,8.5,6.5,8.5,8.5,0,0,8.5,8,8.5,7,8,0,0,9.5,9,8.5,6.5
gregorio,21,130.25,130.25,0,8,0,0,9.5,9.5,8,8,6,0,0,8.5,8.5,7.5,7.5,8.5,0,0,8.5,8.5,9,9,5.75,0,0,0,0,0,0,0,0,0
gregorio,22,81.5,81.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,8,8,8,0,0,8,8,8,9,8.5,0,0,0,0,0
gregorio,23,163.5,163.5,0,0,0,0,0,8,8,8.5,9,7,0,0,8,9.5,8,8,8,0,0,8.5,8,8,8,8,0,0,9,8,8,7.5,8.5,0
gregorio,24,186,186,0,0,9,8.5,8,9,8.5,0,0,8.5,8,10,9.5,10,6,4,8,8,9,8,8.5,0,0,0,0,8.5,8,10.5,0,0,10.5,8
gregorio,25,171,171,0,8,8,8,0,0,8,8,8,8,8,0,0,0,8,8,8,8,0,0,8,0,8,8,11,0,0,8,8,8,8,8
gregorio,26,152.5,152.5,0,0,0,9.5,9,8,8,8,0,0,9,8.5,8.5,8.5,6,0,0,0,2.5,2.5,8,8,0,0,8,8,8,8,8.5,0,0,8
gregorio,27,145,145,0,8,8,8,8,0,0,9.5,7.5,8,8.5,7,0,0,0,0,0,0,0,0,0,8,8,8.5,8,7.5,0,0,8,8,9,7.5
gregorio,28,170,170,0,7.5,0,0,8,8,10,8,7,0,0,9,8,8,8,8,0,0,8,8,8,8.5,8,0,0,8,8,8,8,8,0,0
josem,1,152,152,0,8,8,8,8,8,0,0,8,8,8,8,8,0,0,8,8,8,8,8,0,0,8,8,8,0,0,0,0,8,0,0
josem,2,16,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8,0,0
josem,3,91,91,0,0,8,8,8,8,8,0,0,8,8,8,8,3,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0
josem,4,168,168,0,0,0,8,0,0,8,8,8,8,8,0,0,8,8,8,8,8,0,0,8,8,8,8,8,0,0,8,8,8,8,8
josem,5,168,168,0,0,0,8,8,8,8,8,0,0,8,8,8,8,8,0,0,8,8,8,8,8,0,0,8,8,8,8,8,0,0,8
josem,6,168,168,0,8,8,8,8,0,0,8,8,8,0,8,0,0,8,8,8,8,8,0,0,8,8,8,8,8,0,0,8,8,8,0
josem,7,140,140,0,0,0,0,0,8,8,8,8,0,0,8,8,4,8,8,0,0,8,8,8,8,0,0,0,8,8,8,8,8,0,0
josem,8,176,176,0,8,8,8,8,8,0,0,8,8,8,8,8,0,0,8,8,8,8,8,0,0,0,8,8,8,8,0,0,8,8,8
josem,9,168,168,0,0,8,0,0,8,8,8,8,8,0,0,8,8,8,8,8,0,0,8,8,8,8,8,0,0,8,8,8,8,8,0
josem,10,136,136,0,0,8,8,8,8,0,0,0,0,0,0,0,8,0,0,8,8,8,8,8,0,0,8,8,8,8,8,0,0,8,8
