Issue Key,Issue summary,Work date,Hours,Username,Period,Account Key,Account Name,Account Lead,Account Category,Account Customer,Activity Name,Component,All Components,Version Name,Issue Type,Issue Status,Project Key,Epic,Epic Link,Work Description,Parent Key,Reporter,External Hours,Billed Hours,Issue Original Estimate,Issue Remaining Estimate,,,
JUSTIT-2011,Keep the order of the facades (searches) as is defined in the Topic__.xml files,2019-10-30,1,lorenzo,,,,,,,JUSTIT,,,,Sub-task,Closed,JUSTIT,,,Analyse and help to Roberto,JUSTIT-1914,roberto,0,1,,0,,,
JUSTIT-1880,Loops in state processing,2019-10-24,3,emmanuel,,,,,,,1.0.4.0 - Scanclient,,,1.0.4.0 - Scanclient,Bug,Resolved,JUSTIT,,,working on the issue. testing.,,robert,0,3,0,0,,,
JUSTIT-1988,"Adminclient > Search ""Suche in Search-Logs"" does not run any more",2019-10-30,3,emmanuel,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,"working on the task. testing. it was removed the ""/"" at the end of the namespace which was the cause of an exception on backofficeTrova during the searchLogs execution.",,stefan,0,3,,0,,,
JUSTIT-1993,Schriftgut (open text document) not Swiss addresses,2019-10-28,0.75,ignacio,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,Changes and tests,,neva,0,0.75,,0,,,
JUSTIT-1899,The Schriftgut properties should always be able to be mutated,2019-10-29,0.5,ignacio,,,,,,,Schriftgut,Schriftgut,Schriftgut,,Improvement,Closed,JUSTIT,,,Protection bug,,stefan,0,0.5,,0,,,
JUSTIT-1901,If a Schritt is read only all the zone 4 elements has to be read only,2019-10-29,0.5,sergio,,,,,,,client-app,client-app,client-app,,Improvement,Closed,JUSTIT,,,Gestion,,stefan,0,0.5,,0,,,
JUSTIT-1960,The Protocol of the Backoffice Server must be enabled,2019-10-29,1,sergiol,,,,,,,module-backoffice,module-backoffice,module-backoffice,,Improvement,Closed,JUSTIT,,,,,stefan,0,1,,0,,,
JUSTIT-1982,Saved Requests Disappear when Restarting Tomcat Search Service,2019-10-29,1,sergiol,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,,,sergiol,0,1,,0,,,
JUSTIT-1911,Preview (thumbnail) is not displayed in template selection,2019-10-29,0.5,sergiol,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,,,stefan,0,0.5,,4,,,
JUSTIT-1979,3 of 4 Home Items are missing on the server after the update of mika 1.0.3,2019-10-29,0.5,sergiol,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,,,stefan,0,0.5,,0,,,
JUSTIT-2002,"Favorit > Alle > a Geschäft is showed, but this Geschäft has not set a Favorit",2019-10-29,2,sergiol,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,,,stefan,0,2,,0,,,
JUSTIT-1911,Preview (thumbnail) is not displayed in template selection,2019-10-29,0.5,sergiol,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,,,stefan,0,0.5,,4,,,
JUSTIT-1799,(DMS) Create a configurable size limit for uploading documents,2019-10-29,1,sergiol,,,,,,,module-dms,module-dms,module-dms,,Improvement,Closed,JUSTIT,,,,,josem,0,1,,0,,,
JUSTIT-1914,Introduce the Grouping feature in the Search Module,2019-10-29,1.5,sergiol,,,,,,,client-app,client-app,client-app,,Improvement,Closed,JUSTIT,,,,,stefan,0,1.5,,0,,,
JUSTIT-2010,Some Fields on Lod_Bo_opentextdocViewXlMask are not read only,2019-10-29,1,sergio,,,,,,,JUSTIT,,,,Bug,Closed,JUSTIT,,,Analýsis and test,,stefan,0,1,,0,,,
JUSTIT-1922,Adapt - Perform SOUP UI Test,2019-10-29,4,isabel,,,,,,,JUSTIT,,,,Task,Closed,JUSTIT,,,,,stefan,0,4,,0,,,
JUSTIT-1901,If a Schritt is read only all the zone 4 elements has to be read only,2019-10-29,5,sergio,,,,,,,client-app,client-app,client-app,,Improvement,Closed,JUSTIT,,,Dev and test,,stefan,0,5,,0,,,
JUSTIT-1799,(DMS) Create a configurable size limit for uploading documents,2019-10-29,2.5,ramon,,,,,,,module-dms,module-dms,module-dms,,Improvement,Closed,JUSTIT,,,Dev,,josem,0,2.5,,0,,,
